i,j,point_id_i,point_id_j,value
60,147,130,1,-0.002014666795730591
238,303,61,324,-0.0020135045051574707
153,240,45,91,-0.002012677490711212
286,314,408,147,-0.002012491226196289
3,293,103,272,-0.0020123422145843506
8,154,104,44,-0.002012193202972412
258,287,96,307,-0.002012193202972412
268,299,78,311,-0.0020117759704589844
159,269,134,95,-0.0020116716623306274
151,314,3,147,-0.0020114481449127197
153,250,45,90,-0.0020112916827201843
13,180,284,440,0.0020111799240112305
146,259,4,89,-0.0020110756158828735
9,278,68,291,-0.0020108819007873535
135,278,475,291,0.002010803669691086
164,239,115,146,-0.0020104795694351196
153,194,45,43,-0.0020098239183425903
3,300,103,310,-0.0020096898078918457
303,314,324,147,-0.0020092129707336426
21,174,63,274,-0.0020091235637664795
212,258,393,96,-0.0020089298486709595
239,302,146,308,-0.00200846791267395
27,147,46,1,-0.0020084381103515625
138,152,474,51,0.0020082294940948486
136,301,476,415,0.00200822576880455
173,315,275,187,-0.002008110284805298
238,299,61,311,-0.002007603645324707
13,159,284,134,0.0020075440406799316
154,237,44,185,-0.002007424831390381
9,292,68,271,-0.002006620168685913
268,291,78,268,-0.0020065754652023315
135,292,475,271,0.002006523311138153
106,152,161,51,-0.00200614333152771
144,249,195,77,-0.0020060092210769653
4,231,54,327,-0.0020056962966918945
136,274,476,267,0.0020052343606948853
180,267,440,191,-0.0020051151514053345
146,311,4,111,-0.0020045042037963867
8,153,104,45,-0.0020040571689605713
136,294,476,325,0.0020035579800605774
268,288,78,320,-0.0020033717155456543
109,147,7,1,-0.002003222703933716
299,314,311,147,-0.002003192901611328
238,291,61,268,-0.0020023882389068604
154,259,44,89,-0.002002328634262085
159,267,134,191,-0.0020014718174934387
4,177,54,399,-0.002001434564590454
139,172,473,281,0.0020013898611068726
60,146,130,4,-0.002001136541366577
9,286,68,408,-0.002000868320465088
135,286,475,408,0.002000778913497925
4,149,54,122,-0.0020006000995635986
3,279,103,375,-0.002000570297241211
174,270,274,88,-0.0020005255937576294
136,287,476,307,0.002000281121581793
9,151,68,3,-0.001999795436859131
135,151,475,3,0.0019997358322143555
144,239,195,146,-0.0019995123147964478
153,237,45,185,-0.001999273896217346
238,288,61,320,-0.001999199390411377
179,268,363,78,-0.0019989013671875
45,147,226,1,-0.0019987821578979492
147,324,1,345,0.0019984841346740723
164,258,115,96,-0.0019981227815151215
291,314,268,147,-0.001998007297515869
9,303,68,324,-0.001997530460357666
135,303,475,324,0.0019973963499069214
147,193,1,57,-0.001997143030166626
136,212,476,393,0.001997038722038269
3,283,103,302,-0.0019965171813964844
258,302,96,308,-0.0019960999488830566
154,311,44,111,-0.0019957125186920166
27,146,46,4,-0.001994907855987549
288,314,320,147,-0.001994907855987549
179,238,363,61,-0.001994788646697998
105,160,160,220,-0.0019942820072174072
153,259,45,89,-0.001994185149669647
249,293,77,272,-0.001993149518966675
173,248,275,184,-0.0019930601119995117
180,312,440,116,-0.0019930005073547363
91,174,359,274,0.0019927620887756348
3,163,103,131,-0.001992747187614441
60,154,130,44,-0.0019923746585845947
9,299,68,311,-0.0019916296005249023
268,285,78,304,-0.0019915103912353516
135,299,475,311,0.0019914954900741577
105,145,160,5,-0.0019912272691726685
249,300,77,310,-0.00199049711227417
179,314,363,147,-0.0019903182983398438
4,282,54,314,-0.001989990472793579
109,146,7,4,-0.0019896626472473145
174,240,274,91,-0.0019896626472473145
188,268,164,78,-0.0019896477460861206
232,269,326,95,-0.0019894689321517944
159,312,134,116,-0.0019893646240234375
22,172,70,281,-0.001989305019378662
137,173,477,275,0.0019892901182174683
4,186,54,279,-0.0019885897636413574
3,278,103,291,-0.0019884705543518066
174,250,274,90,-0.0019882619380950928
153,311,45,111,-0.001987636089324951
172,313,281,123,-0.001987367868423462
238,285,61,304,-0.001987367868423462
144,258,195,96,-0.001987174153327942
104,147,159,1,-0.0019868165254592896
174,194,274,43,-0.001986771821975708
239,293,146,272,-0.0019866526126861572
268,284,78,303,-0.0019866228103637695
9,291,68,268,-0.001986473798751831
135,291,475,268,0.001986294984817505
136,164,476,115,0.001986205577850342
61,147,25,1,-0.0019861459732055664
27,154,46,44,-0.0019861161708831787
268,295,78,319,-0.001985609531402588
188,238,164,61,-0.001985505223274231
13,232,284,326,0.001985311508178711
45,146,226,4,-0.00198519229888916
146,324,4,345,0.001984834671020508
60,153,130,45,-0.001984238624572754
3,292,103,271,-0.001984208822250366
136,302,476,308,-0.0019841939210891724
239,300,146,310,-0.0019840002059936523
146,193,4,57,-0.0019835680723190308
9,288,68,320,-0.0019832253456115723
135,288,475,320,0.0019830986857414246
285,314,304,147,-0.0019829869270324707
238,284,61,303,-0.0019825100898742676
269,301,95,415,-0.001981973648071289
238,295,61,319,-0.0019814670085906982
249,279,77,375,-0.0019814372062683105
167,268,48,78,-0.001981377601623535
188,314,164,147,-0.001981109380722046
