label_5class,basis_i,basis_j,basis_i_name,basis_j_name,corr
3,1,4,b1,b6,-0.9957731487926733
3,1,5,b1,b8,0.8259019355548762
3,1,6,b1,b9,0.08561567549487148
3,1,7,b1,b10,-0.878690366733381
3,2,0,b4,b0,-0.9957731487926736
3,2,1,b4,b1,0.9957731487926733
3,2,2,b4,b4,0.9999999999999999
3,2,3,b4,b5,1.0
3,2,4,b4,b6,-1.0
3,2,5,b4,b8,0.8337633021774776
3,2,6,b4,b9,0.10980072424468318
3,2,7,b4,b10,-0.8946434074922411
3,3,0,b5,b0,-0.9957731487926732
3,3,1,b5,b1,0.9957731487926733
3,3,2,b5,b4,1.0
3,3,3,b5,b5,0.9999999999999998
3,3,4,b5,b6,-1.0
3,3,5,b5,b8,0.833763302177478
3,3,6,b5,b9,0.1098007242446829
3,3,7,b5,b10,-0.8946434074922416
3,4,0,b6,b0,0.9957731487926731
3,4,1,b6,b1,-0.9957731487926733
3,4,2,b6,b4,-1.0
3,4,3,b6,b5,-1.0
3,4,4,b6,b6,1.0
3,4,5,b6,b8,-0.8337633021774778
3,4,6,b6,b9,-0.10980072424468287
3,4,7,b6,b10,0.8946434074922415
3,5,0,b8,b0,-0.8259019355548758
3,5,1,b8,b1,0.8259019355548763
3,5,2,b8,b4,0.8337633021774775
3,5,3,b8,b5,0.833763302177478
3,5,4,b8,b6,-0.8337633021774778
3,5,5,b8,b8,1.0
3,5,6,b8,b9,-0.24939353719079363
3,5,7,b8,b10,-0.9492644913806113
3,6,0,b9,b0,-0.08561567549487145
3,6,1,b9,b1,0.08561567549487147
3,6,2,b9,b4,0.10980072424468318
3,6,3,b9,b5,0.1098007242446829
3,6,4,b9,b6,-0.10980072424468287
3,6,5,b9,b8,-0.24939353719079363
3,6,6,b9,b9,1.0
3,6,7,b9,b10,-0.06780155448092384
3,7,0,b10,b0,0.8786903667333809
3,7,1,b10,b1,-0.878690366733381
3,7,2,b10,b4,-0.8946434074922412
3,7,3,b10,b5,-0.8946434074922416
3,7,4,b10,b6,0.8946434074922416
3,7,5,b10,b8,-0.9492644913806113
3,7,6,b10,b9,-0.06780155448092384
3,7,7,b10,b10,1.0
4,0,0,b0,b0,1.0
4,0,1,b0,b1,-0.9999999999999978
4,0,2,b0,b4,-0.2700286011357596
4,0,3,b0,b5,-0.27002860113575816
4,0,4,b0,b6,0.2700286011357579
4,0,5,b0,b8,-0.6924936292234735
4,0,6,b0,b9,-0.6062103310736566
4,0,7,b0,b10,0.7503485268682065
4,1,0,b1,b0,-0.9999999999999978
4,1,1,b1,b1,1.0
4,1,2,b1,b4,0.2700286011357596
4,1,3,b1,b5,0.2700286011357584
4,1,4,b1,b6,-0.27002860113575755
4,1,5,b1,b8,0.6924936292234729
4,1,6,b1,b9,0.6062103310736565
4,1,7,b1,b10,-0.7503485268682064
4,2,0,b4,b0,-0.2700286011357596
4,2,1,b4,b1,0.2700286011357596
4,2,2,b4,b4,1.0
4,2,3,b4,b5,1.0
4,2,4,b4,b6,-1.0
4,2,5,b4,b8,0.33553178889193547
4,2,6,b4,b9,-0.12457037601246247
4,2,7,b4,b10,-0.21863233542928076
4,3,0,b5,b0,-0.27002860113575816
4,3,1,b5,b1,0.27002860113575833
4,3,2,b5,b4,1.0
4,3,3,b5,b5,1.0
4,3,4,b5,b6,-1.0
4,3,5,b5,b8,0.33553178889193297
4,3,6,b5,b9,-0.12457037601246379
4,3,7,b5,b10,-0.21863233542927837
4,4,0,b6,b0,0.27002860113575783
4,4,1,b6,b1,-0.2700286011357576
4,4,2,b6,b4,-1.0
4,4,3,b6,b5,-1.0
4,4,4,b6,b6,0.9999999999999999
4,4,5,b6,b8,-0.3355317888919329
4,4,6,b6,b9,0.12457037601246379
4,4,7,b6,b10,0.21863233542927837
4,5,0,b8,b0,-0.6924936292234734
4,5,1,b8,b1,0.6924936292234728
4,5,2,b8,b4,0.3355317888919354
4,5,3,b8,b5,0.335531788891933
4,5,4,b8,b6,-0.3355317888919329
4,5,5,b8,b8,0.9999999999999999
4,5,6,b8,b9,0.5015658507884665
4,5,7,b8,b10,-0.954018449265947
4,6,0,b9,b0,-0.6062103310736567
4,6,1,b9,b1,0.6062103310736566
4,6,2,b9,b4,-0.12457037601246247
4,6,3,b9,b5,-0.12457037601246379
4,6,4,b9,b6,0.12457037601246378
4,6,5,b9,b8,0.5015658507884665
4,6,6,b9,b9,0.9999999999999999
4,6,7,b9,b10,-0.7378208121951688
4,7,0,b10,b0,0.7503485268682064
4,7,1,b10,b1,-0.7503485268682064
4,7,2,b10,b4,-0.21863233542928076
4,7,3,b10,b5,-0.21863233542927837
4,7,4,b10,b6,0.21863233542927837
4,7,5,b10,b8,-0.9540184492659471
4,7,6,b10,b9,-0.7378208121951687
4,7,7,b10,b10,1.0
